Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,NewOrder,1764122353.079315,3679,0,1
2,Payment,1764122353.083013,1826,0,1
1,NewOrder,1764122353.084864,6570,0,1
1,NewOrder,1764122353.091454,2779,0,1
2,Payment,1764122353.094242,1283,0,1
1,NewOrder,1764122353.095537,3102,0,1
1,NewOrder,1764122353.098648,2286,0,1
2,Payment,1764122353.100979,3008,0,1
1,NewOrder,1764122353.104018,4994,0,1
2,Payment,1764122353.109048,2341,0,1
5,StockLevel,1764122353.111419,2277,0,1
2,Payment,1764122353.113732,1803,0,1
2,Payment,1764122353.115557,2399,0,1
2,Payment,1764122353.117993,1794,0,1
3,OrderStatus,1764122353.119818,1343,0,1
2,Payment,1764122353.121186,2514,0,1
2,Payment,1764122353.123732,2039,0,1
1,NewOrder,1764122353.125798,3939,0,1
2,Payment,1764122353.129777,2118,0,1
2,Payment,1764122353.131918,1840,0,1
2,Payment,1764122353.133770,1292,0,1
1,NewOrder,1764122353.135071,4994,0,1
1,NewOrder,1764122353.140087,4488,0,1
1,NewOrder,1764122353.144608,4763,0,1
2,Payment,1764122353.149380,1280,0,1
2,Payment,1764122353.150668,1627,0,1
1,NewOrder,1764122353.152309,3540,0,1
4,Delivery,1764122353.155867,10877,0,1
5,StockLevel,1764122353.166769,2674,0,1
4,Delivery,1764122353.169461,10414,0,1
1,NewOrder,1764122353.179915,4173,0,1
1,NewOrder,1764122353.184126,5610,0,1
1,NewOrder,1764122353.189791,5292,0,1
2,Payment,1764122353.195108,1927,0,1
1,NewOrder,1764122353.197071,3571,0,1
2,Payment,1764122353.200669,1621,0,1
1,NewOrder,1764122353.202311,4245,0,1
2,Payment,1764122353.206586,2316,0,1
1,NewOrder,1764122353.208920,2664,0,1
4,Delivery,1764122353.211593,6739,0,1
1,NewOrder,1764122353.218352,5784,0,1
1,NewOrder,1764122353.224193,6012,0,1
2,Payment,1764122353.230245,1964,0,1
2,Payment,1764122353.232231,1414,0,1
5,StockLevel,1764122353.233657,1817,0,1
2,Payment,1764122353.235491,2499,0,1
1,NewOrder,1764122353.238011,3977,0,1
5,StockLevel,1764122353.242022,3198,0,1
2,Payment,1764122353.245240,2182,0,1
1,NewOrder,1764122353.247452,2480,0,1
1,NewOrder,1764122353.249948,2704,0,1
1,NewOrder,1764122353.252685,4971,0,1
1,NewOrder,1764122353.257691,3849,0,1
1,NewOrder,1764122353.261563,4082,0,1
1,NewOrder,1764122353.265669,1973,0,1
2,Payment,1764122353.267653,2245,0,1
3,OrderStatus,1764122353.269912,1226,0,1
2,Payment,1764122353.271150,1699,0,1
3,OrderStatus,1764122353.272858,937,0,1
2,Payment,1764122353.273808,1645,0,1
1,NewOrder,1764122353.275502,5893,0,1
1,NewOrder,1764122353.281419,3043,0,1
1,NewOrder,1764122353.284475,3243,0,1
1,NewOrder,1764122353.287733,3605,0,1
1,NewOrder,1764122353.291365,3318,0,1
2,Payment,1764122353.294693,1665,0,1
2,Payment,1764122353.296400,2760,0,1
1,NewOrder,1764122353.299196,4880,0,1
2,Payment,1764122353.304117,1651,0,1
1,NewOrder,1764122353.305792,3633,0,1
2,Payment,1764122353.309435,1276,0,1
1,NewOrder,1764122353.310718,4041,0,1
2,Payment,1764122353.314774,1707,0,1
5,StockLevel,1764122353.316492,1310,0,1
4,Delivery,1764122353.317838,8213,0,1
1,NewOrder,1764122353.326075,2980,0,1
2,Payment,1764122353.329094,1766,0,1
1,NewOrder,1764122353.330875,2606,0,1
1,NewOrder,1764122353.333495,4516,0,1
2,Payment,1764122353.338025,1502,0,1
2,Payment,1764122353.339538,2172,0,1
2,Payment,1764122353.341716,1316,0,1
1,NewOrder,1764122353.343038,4809,0,1
2,Payment,1764122353.347884,1811,0,1
2,Payment,1764122353.349721,1767,0,1
2,Payment,1764122353.351504,1630,0,1
1,NewOrder,1764122353.353167,4079,0,1
1,NewOrder,1764122353.357275,3377,0,1
1,NewOrder,1764122353.360673,3334,0,1
5,StockLevel,1764122353.364015,1611,0,1
2,Payment,1764122353.365661,1616,0,1
2,Payment,1764122353.367301,1978,0,1
1,NewOrder,1764122353.369309,3748,0,1
3,OrderStatus,1764122353.373097,1028,0,1
2,Payment,1764122353.374148,1477,0,1
5,StockLevel,1764122353.375637,1454,0,1
3,OrderStatus,1764122353.377110,658,0,1
2,Payment,1764122353.377792,1162,0,1
2,Payment,1764122353.378964,1360,0,1
1,NewOrder,1764122353.380334,2799,0,1
1,NewOrder,1764122353.383149,2254,0,1
2,Payment,1764122353.385422,1313,0,1
1,NewOrder,1764122353.386769,5087,0,1
1,NewOrder,1764122353.391874,3403,0,1
2,Payment,1764122353.395284,1579,0,1
2,Payment,1764122353.396876,1329,0,1
1,NewOrder,1764122353.398214,4133,0,1
2,Payment,1764122353.402371,1929,0,1
2,Payment,1764122353.404321,1502,0,1
1,NewOrder,1764122353.405833,2991,0,1
2,Payment,1764122353.408855,1784,0,1
2,Payment,1764122353.410660,1351,0,1
4,Delivery,1764122353.412036,6774,0,1
1,NewOrder,1764122353.418841,3149,0,1
1,NewOrder,1764122353.422139,2176,0,1
5,StockLevel,1764122353.424365,1477,0,1
1,NewOrder,1764122353.425865,3317,0,1
2,Payment,1764122353.429210,2126,0,1
2,Payment,1764122353.431361,2103,0,1
2,Payment,1764122353.433482,1527,0,1
2,Payment,1764122353.435030,2731,0,1
1,NewOrder,1764122353.437779,5204,0,1
2,Payment,1764122353.443012,2187,0,1
1,NewOrder,1764122353.445220,2842,0,1
2,Payment,1764122353.448086,2315,0,1
2,Payment,1764122353.450427,1579,0,1
2,Payment,1764122353.452020,2132,0,1
1,NewOrder,1764122353.454183,3965,0,1
2,Payment,1764122353.458174,1940,0,1
1,NewOrder,1764122353.460133,2924,0,1
2,Payment,1764122353.463074,2359,0,1
2,Payment,1764122353.465463,1434,0,1
1,NewOrder,1764122353.466910,2854,0,1
1,NewOrder,1764122353.469795,3010,0,1
1,NewOrder,1764122353.472834,3280,0,1
1,NewOrder,1764122353.476143,3168,0,1
1,NewOrder,1764122353.479327,4172,0,1
1,NewOrder,1764122353.483531,2863,0,1
2,Payment,1764122353.486420,2001,0,1
2,Payment,1764122353.488444,1586,0,1
1,NewOrder,1764122353.490040,2948,0,1
4,Delivery,1764122353.492999,9898,0,1
2,Payment,1764122353.502929,2230,0,1
4,Delivery,1764122353.505194,7884,0,1
2,Payment,1764122353.513105,1367,0,1
1,NewOrder,1764122353.514482,3672,0,1
2,Payment,1764122353.518189,1717,0,1
1,NewOrder,1764122353.519934,3986,0,1
2,Payment,1764122353.523947,1794,0,1
1,NewOrder,1764122353.525760,5254,0,1
2,Payment,1764122353.531044,2217,0,1
2,Payment,1764122353.533279,2105,0,1
2,Payment,1764122353.535412,2145,0,1
2,Payment,1764122353.537727,2277,0,1
